Original - codPostal,Original - nomeRegiao,Original - agrupamento,Original - nomeAgrupamento,Original - email,Original - latitude,Original - longitude,Original - codPostalDescricao,Original - morada,Original - nomeNucleo,Original - site
4755-056,Braga,0473,Barcelinhos,esmeraldinopereira@hotmail.com,41.52097430000001,-8.620347899999999,Barcelos,"Rua Brito Limpo, 26 - Residência Paroquial",Barcelos,http://cne473.no.sapo.pt/
4750-868,Braga,0474,Tamel São Veríssimo,geral.474@cne-escutismo.pt,41.55070509999999,-8.5960085,Tamel São Veríssimo,"Avenida da Igreja, nº 26",Barcelos,
4905-512,Viana Castelo,0475,Mujães,geral.475@escutismo.pt,41.6574938,-8.7121522,Mujães,Rua Monsenhor Ribeiro Torres,,
5370-202,Bragança,0478,Mirandela,geral.478@escutismo.pt,41.4853545,-7.180871100000001,Mirandela,"Av. 25 de Abril, N.º 571",,
4445-066,Porto,0479,Alfena,geral.479@escutismo.pt,41.2414685,-8.525646999999999,Alfena,Centro Social e Paroquial de Alfena,Centro Norte,
3770-000,Aveiro,0480,São Bartolomeu - Troviscal,henriquecarrico@sapo.pt,40.4824726,-8.5769102,Mamarrosa,,,
5000-525,Vila Real,0482,Sé,geral@agr482.cne-escutismo.pt,41.2962261,-7.747113100000001,Vila Real,"Rua Marechal Teixeira Rebelo, 33",,
4150-329,Porto,0483,Nevogilde,geral@agr483.cne-escutismo.pt,41.1629447,-8.674936499999999,Porto,"Rua de Fez, 75",Cid. Porto,
2900-493,Setúbal,0484,Anunciada,geral@agr484.cne-escutismo.pt,38.5226402,-8.900685599999999,Setúbal,Rua Mártires Pátria 13,,http://agr484.cne-escutismo.pt
1300-100,Lisboa,0485,Ajuda,vcarval3@its.jnj.com,38.7037847,-9.1943839,Lisboa,Largo Boa - Hora  Ajuda  (Igreja),Lisboa Ocidental,
4750-485,Braga,0486,Galegos São Martinho,geral@agr486.cne-escutismo.pt,41.555172,-8.622370799999999,Barcelos,rua da Igreja,Barcelos,
4755-041,Braga,0487,Areias de Vilar,nfegomes@gmail.com,41.539253,-8.563331399999999,Areias de Vilar,Lugar da Igreja - Areias de Vilar,Barcelos,http://agr487.cne-escutismo.pt
2640-465,Lisboa,0488,Mafra,geral.488@escutismo.pt,38.97082290000001,-9.3707131,Mafra,Complexo Cultural Quinta da Raposa,Oeste,http://agr488.cne-escutismo.pt
2530-112,Lisboa,0489,Lourinhã,geral.489@escutismo.pt,39.2414853,-9.312951099999999,Lourinhã,"Alameda Nossa Senhora dos Anjos, Casa do Ermitão, S/N",Oeste,
2140-124,Santarém,0490,Chamusca,geral.490@escutismo.pt,39.3564086,-8.4786825,Chamusca,Latitude: 39.359157 (N39º21'32.965'')Longitude: -8.481942 (O8º28'54.989'')Altitude: 28 metros,,http://agr490.cne-escutismo.pt/
9700-054,Açores,0492,Angra do Heroísmo,cne492@gmail.com,38.6558871,-27.2159601,Angra do Heroísmo,"Rua da Conceição, Nº 17",Terceira,
2660-901,Lisboa,0495,Santo António dos Cavaleiros,cne495sac@gmail.com,38.8137476,-9.1640362,Santo António dos Cavaleiros,"Centro Paroquial de S.A.C.
Avenida Francisco Pinto Pacheco, apartado 1072",Moinhos de Vento,http://495sac.blogspot.com
2565-311,Lisboa,0496,Freiria,geral.496@escutismo.pt,39.0245429,-9.3187342,Freiria,"Rua das Fontaínhas, nº28",Oeste,http://agr496.cne-escutismo.pt
9700-554,Açores,0497,São Mateus,cachalote_12@hotmail.com,38.6635375,-27.2293969,Angra do Heroísmo,"Rua do Negrito, 55",Terceira,
4730-031,Braga,0498,Portela do Vade,geral.498@escutismo.pt,41.7239449,-8.414246,Portela do Vade VVD,Portela do Vade,Vila Verde,
4730-062,Braga,0499,Barbudo,agrup499@hotmail.com,41.64799910000001,-8.4515501,Barbudo,"Rua do Castelo, nº 3",Vila Verde,
4715-133,Braga,0500,Fraião,geral.500@escutismo.pt,41.5344604,-8.3996893,Braga,"Rua Campo Escola, 10",Braga,agr.500.cne-escutismo.pt
4415-338,Porto,0501,Pedroso,agrup501pedroso@gmail.com,41.0539947,-8.5625998,Pedroso VNG,"Rua de S. Bento, 392",Douro Sul,
4795-267,Porto,0502,Roriz,geral.502@escutismo.pt,41.35231599999999,-8.3825444,Santo Tirso,Rua António Barbosa Nº 185,Norte,
4780-460,Porto,0503,Fontiscos,cne503@sapo.pt,41.3474446,-8.488281000000001,Santo Tirso,Rua Escola do Monte,Norte,http://www.psbfontiscos.com.sapo.pt
2950-739,Setúbal,0504,Quinta do Anjo,geral.504@escutismo.pt,38.564984,-8.9409741,Quinta do Anjo,"Igreja Paroquial Quinta do Anjo, Rua Dom Jorge de Lencastre",,http://agr504.cne-escutismo.pt
6215-414,Guarda,0506,Paul,geral.506@escutismo.pt,40.2016821,-7.6376099,Paul,Rua da Lameira,,
3730-000,Viseu,0508,Arões,geral@agr508.cne-escutismo.pt,40.79891180000001,-8.2952127,Arões,Arões,,http://agrup508.wordpress.com
4755-094,Braga,0509,Bastuço - São João,geral@agr509.cne-escutismo.pt,41.5025987,-8.584317499999999,Barcelos,Rua da Igreja,Barcelos,www.agr509.cne-escutismo.pt
2800-267,Setúbal,0510,Cacilhas,geral@agr510.cne-escutismo.pt,38.6871412,-9.1482996,Almada,"Beco do Bom Sucesso, 13",,http://agr510.cne-escutismo.pt/
8400-314,Algarve,0511,Lagoa,geral.511@escutismo.pt,37.1355159,-8.4532577,Lagoa,Rua Alexandre Herculano Nº 24 R/C,,
2520-408,Lisboa,0512,Peniche,carlos.an.pacheco.512@gmail.com,39.3602049,-9.3790952,Peniche,"Rua D. Luís de Ataíde, 54",Oeste,http://www.agr512.cne-escutismo.pt
2580-576,Lisboa,0513,Alenquer,geral.513@escutismo.pt,39.0488416,-9.003629099999999,Alenquer,Rua do Pedrógão - Antiga Escola Primária das Paredes,Solarius,
2580-468,Lisboa,0514,Carregado,jose.medeiros@mcg.pt,39.023831,-8.982514999999999,Carregado,Rua António Correia Baharem,Solarius,
2540-098,Lisboa,0516,Bombarral,paulo.ribeiro@alvorada.pt,39.2697174,-9.1585421,2540-098,Rua General Gorjão Henriques,Oeste,
4580-121,Porto,0519,Paredes,geral.519@escutismo.pt,41.2079386,-8.339072000000002,Paredes,"Rua Pe. Dr. Joaquim Alves Correia, 14",Este,
4461-901,Porto,0521,Senhora da Hora,geral@agr521.cne-escutismo.pt,41.1924048,-8.6902496,Senhora da Hora,"Avenida da Senhora da Hora, 360 - Parque das Sete Bicas",Litoral,
2460-396,Lisboa,0522,Coz,geral.522@escutismo.pt,39.6015061,-8.9563325,Coz,"Rua Monjas de Sister, nº8",Oeste,http://www.agr522.cne-escutismo.pt/
1600-120,Lisboa,0523,São Tomás Aquino,agrupamento523@hotmail.com,38.7535348,-9.1737871,Lisboa,Rua Ginestal Machado - Edf Paroquial,Lisboa Ocidental,http://www.agrupamento523.com
2050-163,Lisboa,0524,Aveiras de Cima,cne.524@hotmail.com,39.1354795,-8.8975651,Aveiras de Cima,"Rua São Martinho, 1A",Solarius,
4425-538,Porto,0525,São Pedro Fins,pedrosergiomoreira@gmail.com,41.2446363,-8.5509016,São Pedro Fins,Residência Paroquial  - Largo Souto,Litoral,
4770-160,Braga,0526,Jesufrei,cne.agrup526@gmail.com,41.4546108,-8.4944132,Jesufrei,"Rua Padre Manuel da Costa Rego, 65",Famalicão,
4830-513,Braga,0527,Nª Senhora do Amparo,oiram.mario@gmail.com,41.577258,-8.272317299999999,Póvoa de Lanhoso,"Av Republica, nº 34",Póvoa de Lanhoso,
4750-536,Braga,0528,Lijó,geral@agr528.cne-escutismo.pt,41.5485104,-8.5899508,Lijó - Barcelos,Largo da Igreja,Barcelos,agr528.cne-escutismo.pt
4750-000,Braga,0529,Areias São Vicente,geral@agr529.cne-escutismo.pt,41.5621778,-8.576769199999999,Barcelos,Lugar da Igreja,Barcelos,http://www.agr529.cne-escutismo.pt
3830-000,Aveiro,0531,Gafanha do Carmo,clemente-machado@hotmail.com,40.5876091,-8.7413072,Gafanha do Carmo,Largo da Igreja,,
4835-128,Braga,0532,Mascotelos,geral.532@escutismo.pt,41.4223787,-8.315815299999999,Guimarães,"Rua do Côto, 237",Guimarães,http://agr532.cne-escutismo.pt
3700-771,Porto,0534,Nogueira do Cravo,geral.534@escutismo.pt,40.8913593,-8.4527641,Nogueira do Cravo OAZ,"Rua Baden Powell, 102",Terras de Santa Maria,www.agr534.cne-escutismo.pt/
4935-566,Viana Castelo,0537,Castelo do Neiva,josepfigueiredo@sapo.pt,41.6216347,-8.8001515,Castelo do Neiva,Avenida de Moldes - Sede dos Escuteiros,,
4935-000,Viana Castelo,0538,Darque,geral@agr538.cne-escutismo.pt,41.6883465,-8.8152414,Darque,Senhora das Areias,,
4870-058,Vila Real,0540,Cerva,mh.rodrigues@live.com.pt,39.7567833,-8.8524274,Cerva,Casa do Sobreiro,,
1600-083,Lisboa,0541,Pio XII,geral.541@escutismo.pt,38.7477196,-9.1526777,Lisboa,Colégio Universitário Pio XII - Avenida Forcas Armadas,Oriental,http://agr541.cne-escutismo.pt
2330-540,Santarém,0542,Entroncamento,geral@agr542.cne-escutismo.pt,39.4611239,-8.478759,Entroncamento,"Rua Baden-Powell, nº 1",,
2805-319,Setúbal,0543,Cova da Piedade,geral.543@escutismo.pt,38.6677668,-9.1697322,Almada,R. de Dom José de Alarcão - Capela de São Jorge,,http://agr543cne.blogspot.com/
4700-636,Braga,0544,Esporões,agrupamento544@gmail.com,41.5106151,-8.415785399999999,Esporões - Braga,Praceta Padre Guilherme,Braga,
4755-333,Braga,0545,Milhazes,geral.545@escutismo.pt,41.4933229,-8.666654599999999,Milhazes - Barcelos,Rua Padre Manuel Martins Palmeira,Barcelos,
4835-336,Braga,0546,Pevidém,geral.546@escutismo.pt,41.4285927,-8.354500699999999,Guimarães,Rua do Montenegro,Guimarães,
3880-191,Porto,0549,Ovar,geral@agr549.cne-escutismo.pt,40.86489460000001,-8.617375700000002,Ovar,Rua dos Ferroviários,Terras de Santa Maria,http://www.agr549.cne-escutismo.pt
2745-438,Lisboa,0550,Manique,geral@agr550.cne-escutismo.pt,38.7331569,-9.4098825,Alcabideche,Escola Salesiana - Estrada dos Salesianos,Barra,http://www.cne550.org/
5100-446,Lamego,0551,Cepões,geral.551@escutismo.pt,41.0725837,-7.799071999999999,Lamego,"Rua da Nossa Senhora Da Saúde nº 47, Antigo Edifício Escolar, 5100 - 446 Cepões Lamego",,
8700-537,Algarve,0554,Olhão,geral.554@escutismo.pt,37.0272304,-7.8407611,Olhão,"Travessa 18 de Junho, 17 C-D",,http://cneagrup554-olhao.net/
2800-110,Setúbal,0555,Almada,geral.555@escutismo.pt,38.6804237,-9.1581396,Almada,Largo Baden PowellIgreja Paroquial de Almada,,https://www.facebook.com/CNE555
4560-000,Porto,0557,Penafiel,geral@agr557.cne-escutismo.pt,41.2085641,-8.274975999999999,Penafiel,Jardim do Sameiro,Este,
4765-148,Braga,0558,Pedome,cnepedome@gmail.com,41.4135772,-8.3925398,Pedome,"Avenida do São Pedro, nº 772",Famalicão,http://www.cne558pedome.com
4750-513,Braga,0559,Lama,geral.559@escutismo.pt,41.555172,-8.622370799999999,Barcelos,Rua da Igreja,Barcelos,
4720-522,Braga,0560,Lago,geral.560@escutismo.pt,41.6206317,-8.4139348,Lago AMR,"Avenida Senhora da Saúde, nº1",Braga,www.cne-lago.pt.la
4755-266,Braga,0561,Macieira de Rates,geral.561@escutismo.pt,41.4374397,-8.632059099999999,Macieira de Rates - Barcelos,Rua da Igreja,Barcelos,http://561.escutismo.pt
4700-658,Braga,0563,Padim da Graça,constantinomacedo@gmail.com,41.5655073,-8.486532199999999,Padim da Graça,"Lugar da Igreja, Nº 24",Braga,
4715-013,Braga,0564,Espinho,geral.564@escutismo.pt,41.6353096,-8.370846499999999,Braga,Lugar da Igreja,Braga,
4810-055,Braga,0566,Creixomil,geral.566@escutismo.pt,41.4377038,-8.302363999999999,Guimarães,Igreja Paroquial de Creixomil,Guimarães,
4815-587,Braga,0567,São Paio de Vizela,cne567s.paio@hotmail.com,41.3917039,-8.2604019,São Paio de Vizela,Rua 26 de junho nº 15,Guimarães,
4480-018,Braga,0568,S.Miguel Arcos,geral@agr568.cne-escutismo.pt,41.3963512,-8.665536699999999,Arcos - V.C.D,"Rua da Igreja, 45",Cego do Maio,http://www.agr568.cne-escutismo.pt
4570-346,Braga,0570,S. Miguel de Laúndos,geral@agr570.cne-escutismo.pt,41.4346015,-8.723035699999999,Laundos,Edificio da Junta de Freguesia - Rua de S. Miguel,Cego do Maio,
9020-119,Madeira,0571,Santo Amaro,geral.571@escutismo.pt,32.661251,-16.953076,Funchal,"Complexo Habitacional Santo Amaro II, Loja 16, R/C",,www.agrupamento571.com
4485-495,Porto,0572,Mindelo,rui.mandarim.19@hotmail.com,41.3111604,-8.7283598,Mindelo,"Rua José Azevedo, 76",Litoral,
4910-342,Viana Castelo,0573,Seixas,geral.573@escutismo.pt,41.898961,-8.815737799999999,Seixas CMN,"Canto dos Escuteiros, 6",,http://cne573seixas.no.sapo.pt/
4405-407,Porto,0575,São Félix da Marinha,cne575s.felixdamarinha@gmail.com,41.0337158,-8.622943599999999,São Félix da Marinha,"Rua de São Félix,1681",Douro Sul,
3500-198,Viseu,0577,S. José,geral.577@escutismo.pt,40.6565861,-7.9124712,Viseu,Paroquia São José - Largo Senhora da Conceição,,http://www.agr577.com/
3520-044,Viseu,0578,Nelas,emiliofernandes@migas.eu,40.537787,-7.8498679,Nelas,Parque S. Miguel,,
6200-789,Guarda,0580,Tortosendo,geral.580@escutismo.pt,40.2307981,-7.5231801,Tortosendo,"Sítio do Passal, Capela De S. Brás",,
7500-180,Beja,0581,Vila Nova de Santo André,geral581@escutismo.pt,38.0531218,-8.7524636,Vila Nova de Santo André,Bairro Azul - Colectiva B2 r/c Dto,,
1885-063,Lisboa,0582,Moscavide,geral.582@escutismo.pt,38.779448,-9.102432499999999,Moscavide,Avenida Moscavide 76,Moinhos de Vento,
2260-000,Santarém,0583,Barquinha,agrupamento583vnbarquinha@gmail.com,39.4666136,-8.4445456,Vila Nova da Barquinha,Rua da Capela 1A,,
2855-696,Setúbal,0585,Corroios,geral.585@escutismo.pt,38.6313107,-9.154547299999999,Corroios,Quinta de São Pedro _ Quinta da Marialva,,
2835-722,Setúbal,0586,Palhais,geral.586@escutismo.pt,38.6267796,-9.0338531,Santo Antonio da Charneca,Igreja Santo António Charneca - Traseiras Lado Dto.,,
8365-034,Algarve,0587,Alcantarilha,geral.587@escutismo.pt,37.1311947,-8.345796399999999,8365-098 Alcantarilha,Casa escutista- Rua 25 de Abril,,
3830-555,Aveiro,0588,D.José de Lencastre,geral.588@escutismo.pt,40.6363737,-8.7004614,Gafanha da Nazaré,Avenida José Estevão – Largo da Igreja,,
9701-851,Açores,0590,Terra Chã,cnea590tc@sapo.pt,38.6574963,-27.2356668,Terra-Chã,Igreja Paroquial de Nossa Senhora de Belém,Terceira,http://cnea590tc.comunidades.net/
3730-062,Porto,0592,São Pedro de Castelões,geral.592@escutismo.pt,40.8906094,-8.452397300000001,Vale de Cambra,Rua Baden Powell,Terras de Santa Maria,www.sites.google.com/a/escutismo.pt/agr592
2350-346,Santarém,0593,Riachos,agrup593@gmail.com,39.4437473,-8.5138693,Riachos,Complexo Paroquial - Rua Santo António,,
2685-528,Lisboa,0594,Camarate,agrup594camarate@gmail.com,38.8035204,-9.126944300000002,Camarate,"Sede Escuteiros, Rua José Francisco Raposo",Moinhos de Vento,
4750-166,Braga,0595,Arcozelo,geral@agr595.cne-escutismo.pt,41.5247168,-8.5637246,Barcelos,Residência Paroquial,Barcelos,Aquilino Ribeiro
4730-247,Braga,0596,São Julião da Lage,geral.596@escutismo.pt,41.62826680000001,-8.464910999999999,Lage,Salão Paroquial,Vila Verde,
2785-612,Lisboa,0597,Tires,joaosantos@inspirit.pt,38.7100281,-9.354212000000002,São Domingos de Rana,"Rua Parque nº.46, Loja A - B",Barra,
8635-140,Algarve,0598,Armação de Pêra,geral@agr598.cne-escutismo.pt,37.1028022,-8.357436,Armação de Pêra,"Rua Dr. Manuel d'Arriaga, 40",,
4815-668,Porto,0599,Santo Adrião de Vizela,geral.599@escutismo.pt,41.36292590000001,-8.2826553,Vizela,"Rua Nossa Senhora da Tocha, Nº 183",Norte,agr599.cne-escutismo.pt
2550-069,Lisboa,0601,Vilar,geral.601@escutismo.pt,39.1842186,-9.108633599999999,Vilar,"Calçada S. João de Brito, Nº 53",Oeste,
5340-272,Bragança,0602,Macedo de Cavaleiros,rttat@sapo.pt,41.5385178,-6.9641595,Macedo de Cavaleiros,Rua Jacob Rodrigues Pereira,,
3040-568,Coimbra,0603,Antanhol,geral@agr603.cne-escutismo.pt,40.1688705,-8.4639449,Antanhol,"Largo Igreja, S/N",Mondego-Sul,www.agr603.cne-escutismo.pt
3525-304,Viseu,0604,Canas de Senhorim,geral.604@escutismo.pt,40.5109881,-7.910264699999999,Canas de Senhorim,Antiga Escola Primária,,
3660-061,Viseu,0605,Carvalhais,geral.605@escutismo.pt,40.7899953,-8.115145199999999,Carvalhais - São Pedro do Sul,Igreja Paroquial de  Carvalhais,,
9760-727,Açores,0606,Vila Nova,geral@agr606.cne-escutismo.pt,-22.8196053,-47.261011,Vila Nova VPV,Rua da Misericórdia,Terceira,
6215-674,Guarda,0607,Unhais da Serra,geral.607@escutismo.pt,40.2618934,-7.623766499999999,Unhais da Serra,"Avenida das Termas, nº 11",,http://www.agr607.cne-escutismo.pt
4455-469,Porto,0608,Perafita,geral.608@escutismo.pt,41.2261134,-8.696377099999999,Perafita,"Praceta Padre Ângelo Ferreira Pinto, 25",Litoral,http://agr608.cne-escutismo.pt
4585-252,Porto,0609,Parada de Todeia,geral.609@escutismo.com,41.1853635,-8.376233900000001,Parada Todeia,Largo da Igreja,Este,
4415-801,Porto,0610,Grijó,geral.610@escutismo.pt,41.0287046,-8.584672599999999,Grijó,Mosteiro - Grijó,Douro Sul,
5100-723,Lamego,0611,Penude,geral@agr611.cne-escutismo.pt,41.0700142,-7.859656499999999,Penude - Lamego,Purgaçal,,www.agr611.cne-escutismo.pt
4730-120,Braga,0617,Coucieiro,geral@agr617.cne-escutismo.pt,41.6678876,-8.3970406,Coucieiro - Vila Verde,Salão Paroquial - Lugar da Igreja,Vila Verde,
4750-471,Braga,0618,Galegos Santa Maria,geral@agr618.cne-escutismo.pt,41.5491322,-8.2705635,Galegos - Santa Maria,"Rua da Portela, N. 191",Barcelos,
4820-474,Braga,0619,São Lourenço - Golães,geral@agr619.cne-escutismo.pt,41.4652503,-8.194926799999999,Fafe,Rua de Sub-Carreira,Fafe,http://www.agr619.cne-escutismo.pt
4770-131,Braga,0620,São Tiago Cruz,josemartins620@gmail.com,41.4435778,-8.495530799999999,Cruz,"Avenida Padre António Araújo Fernandes, 70",Famalicão,
6000-500,Portalegre-Castelo Branco,0624,Cebolais de Cima,geral.624@escutismo.pt,39.7456512,-7.568482100000001,Cebolais de Cima,"Av. 25 de Abril, 94",,
2635-383,Lisboa,0625,Rio de Mouro,geral@agr625.cne-escutismo.pt,38.7658411,-9.328468299999999,Rio de Mouro,Igreja Paroquial da Nossa Senhora da Paz,Serra da Lua,http://www.agrupamento625.org
2795-151,Lisboa,0626,Linda-a-Velha,geral@agr626.cne-escutismo.pt,38.7100904,-9.245901199999999,Linda-a-Velha,Av D. Pedro V 31-C,Barra,
4780-368,Porto,0628,Santo Tirso,teixeiralteixeira@gmail.com,41.3449181,-8.4720818,Santo Tirso,"Largo Abade Pedrosa, 4",Norte,
9700-471,Açores,0630,Santa Bárbara,agrupamento630@hotmail.com,38.6635375,-27.2293969,Angra do Heroísmo,Centro Paroquial - Santa Bárbara,Terceira,
9760-480,Açores,0631,Santa Luzia,aidasbarbosa@gmail.com,38.7339162,-27.0646976,Praia da Vitória,Largo da Igreja - Santa Luzia,Terceira,
2000-393,Santarém,0634,Alcanhões,geral@agr634.cne-escutismo.pt,39.2967245,-8.659332299999999,Alcanhões,"Rua 1º de Dezembro, s/nº",,http://agr634.cne-escutismo.pt
4745-567,Porto,0635,São Romão do Coronado,geral.635@escutismo.pt,41.28255910000001,-8.557305399999999,São Romão do Coronado,Largo de S. Bartolomeu,Norte,
7160-277,Évora,0639,Vila Viçosa,agrupamento639.cne@gmail.com,38.7778975,-7.419061500000001,Vila Viçosa,"Rua Martim Afonso Sousa, 6",,
4524-909,Porto,0640,Santa Maria da Feira,geral.640@escutismo.pt,40.9198604,-8.5429733,Santa Maria da Feira,Quinta do Castelo,Terras de Santa Maria,
7800-381,Beja,0641,Beja,geral@agr641.cne-escutismo.pt,38.0167622,-7.8553415,Beja,"Rua David Mourão Ferreira, 2",,
9760-211,Açores,0642,Fontinhas,agp642fontinhas@gmail.com,38.7339162,-27.0646976,Praia da Vitoria,"Ribeira do Marques, Nº179",Terceira,
2955-171,Setúbal,0643,Pinhal Novo,geral@agr643.cne-escutismo.pt,38.6316909,-8.9150116,Pinhal Novo,"Rua Diogo Cão Nº7B,",,http://cne643.blogspot.com/
9600-557,Açores,0645,Ribeira Grande,cne_agr645@sapo.pt,37.823068,-25.517650,Ribeira Grande,"Rua Frei Agostinho Mont’Alverne, 2 - 1ª Travessa",São Miguel,http://cne645.com.sapo.pt/
9500-557,Açores,0646,Feteiras,reconha@sapo.pt,37.803454,-25.788430,Ponta Delgada,Largo de Santa Luzia,São Miguel,
2565-842,Lisboa,0647,São Mamede da Ventosa,agrupamento647smv@gmail.com,39.0659452,-9.3089009,Ventosa TVD,"Rua Luis de Camões, 7 - Moçafaneira",Oeste,
2565-000,Lisboa,0648,Campelos,geral.648@escutismo.pt,39.1932244,-9.2231387,Campelos,Igreja Paroquial,Oeste,
3670-056,Viseu,0649,Campia,joanamsbatista@hotmail.com,40.6745124,-8.2163679,Campia,Igreja,,
2925-589,Setúbal,0651,Azeitão,geral@agr651.cne-escutismo.pt,38.5187524,-9.018099299999999,Vila Nogueira de Azeitão,Rua Poeta Sebastião da Gama,,http://www.agr651.cne-escutismo.pt
9700-613,Açores,0652,São Sebastião,freezz2_22@hotmail.com,38.666715,-27.0918897,Vila de São Sebastião,"Rua da Praça, 129",Terceira,
9700-000,Açores,0654,Ribeirinha,cristina2_rocha@hotmail.com,38.6556303,-27.2268368,Angra do Heroísmo,Caminho Novo,Terceira,
7170-999,Évora,0655,Redondo,jorgesantos655@hotmail.com,38.64933509999999,-7.5445498,Redondo,"Travessa do Martins, 1",,
3200-909,Coimbra,0656,Lousã,geral@agr656.cne-escutismo.pt,40.1147188,-8.2440038,Lousã,Apartado 53,Mondego-Sul,
5140-100,Bragança,0658,Carrazeda de Ansiães,agrup658@sapo.pt,41.2472008,-7.3125325,Carrazeda de Ansiães,Zona Industrial,,http://www.agr658.cne-escutismo.pt
4710-316,Braga,0660,Montariol,geral.660@escutismo.pt,41.5688146,-8.411961999999999,Braga,Caminho de Montariol n 55,Braga,
4720-626,Braga,0661,Rendufe,agrup661@gmail.com,41.6336322,-8.349917,Amares,"Largo do Mosteiro de Santo André, 50",Braga,
4805-570,Braga,0662,Vila Nova de Sande,geral@agr662.cne-escutismo.pt,41.4545975,-8.3659,Vila Nova de Sande,Avenida da Igreja - Vila Nova de Sande,Guimarães,
4815-298,Braga,0663,Moreira de Cónegos,geral.663@escutismo.pt,41.3702129,-8.404929599999999,Guimarães,"Rua do Escuteiro, N. 1",Guimarães,
4805-191,Braga,0664,Leitões,cne664leitoes@gmail.com,41.4785334,-8.3756982,Leitões,Rua do Monte,Guimarães,
4805-611,Braga,0665,Oleiros,geral.665@escutismo.pt,41.478242,-8.395042499999999,OLEIROS GMR,Rua do Assento,Guimarães,
4805-000,Braga,0666,Caldas das Taipas,geral@agr666.cne-escutismo.pt,41.5095192,-8.3558331,Caldas das Taipas,Largo Conde Agrolongo,Guimarães,http://agr666.cne-escutismo.pt
4805-493,Braga,0667,Airão São João,geral.667@escutismo.pt,41.4562168,-8.4191465,São João Batista Airão,"Rua São João Baptista, 298",Guimarães,http://agr667.cne-escutismo.pt
3025-119,Coimbra,0668,Pedrulha,geral.668@escutismo.pt,40.2422401,-8.4453557,Coimbra,"Travessa de S. Simão, Lote C",Centro-Norte,http://agr668.cne-escutismo.pt
7040-032,Évora,0669,Arraiolos,cne_669arraiolos@sapo.pt,38.727018,-7.9828693,Arraiolos,Outeiro S. Pedro - Antiga Escola Primária,,
7570-139,Beja,0670,Grândola,geral@agr670.cne-escutismo.pt,38.1759812,-8.568488799999999,Grândola,"Praça Marquês de Pombal, 51
Igreja Matriz",,http://agr670.cne-escutismo.pt
4705-250,Braga,0671,Lomar,agrup671lomar@hotmail.com,41.5278021,-8.429774999999999,Braga,Largo da Igreja Velha - Igreja Matriz Lomar,Braga,http://agr671.cne-escutismo.pt/
3100-925,Coimbra,0674,Pombal,geral.674@escutismo.pt,39.9167748,-8.632141499999999,Pombal,Rua do Pranto à Maria Parda - Urbanização São Cristovão,Beira-Mar,http://www.674pombal.com/
6200-571,Guarda,0675,Ferro,geral.675@escutismo.pt,40.2327996,-7.4448807,Ferro,"Estrada Municipal, Sítio do Cavaco, Bl. 2 — Lj. C",,
4430-393,Porto,0676,Cristo Rei,geral@agr676.cne-escutismo.pt,41.1035325,-8.5810241,Vila Nova de Gaia,"Rua Escultor Alves de Sousa, 358",Douro Sul,http://www.676-cristorei.blogspot.com/
4450-222,Porto,0677,Matosinhos,geral.677@escutismo.pt,41.1872647,-8.6842522,Matosinhos,"Rua Silva Cunha, 107",Litoral,
2655-255,Lisboa,0679,Ericeira,geral.679@escutismo.pt,38.9635247,-9.4170739,ERICEIRA,"Rua 5 de Outubro, 14",Oeste,
4615-463,Porto,0680,Santão,geral.680@escutismo.pt,41.312892,-8.1678497,Santão,Rua do poder Local,Este,
3780-103,Aveiro,0681,Sangalhos,pauloseabra.66@gmail.com,40.4487123,-8.445024,Sangalhos,Largo do Cruzeiro,,www.agr681.cne-escutismo.pt
2495-350,Leiria,0682,Fátima,geral.682@escutismo.pt,39.5990234,-8.6437445,Fátima,"Rua da Escola, Casa Velha",,http://www.agr682.cne-escutismo.pt
1600-768,Lisboa,0683,Telheiras,geral.683@escutismo.pt,38.7596864,-9.164001799999999,Lisboa,Estrada de Telheiras Igreja Paroquial de Nossa Senhora das Portas do Céu,Oriental,http://683.escutismo.pt/
8500-007,Algarve,0685,Alvor,cne685alvor@portugalmail.pt,37.13139719999999,-8.594942,Alvor,Rua da Igreja,,
5030-101,Vila Real,0687,Fontes,geral@agr687.cne-escutismo.pt,41.2304047,-7.819534,FONTES SMP,"Lugar da Aveleira, 36",,www.agr687.cne-escutismo.pt
2861-908,Setúbal,0688,Alhos Vedros,geral@agr688.cne-escutismo.pt,38.6794457,-8.9688798,Alhos Vedros,Largo da Igreja,,
2830-349,Setúbal,0690,Barreiro,geral.690@escutismo.pt,38.6619249,-9.083330699999999,Barreiro,Rua Almirante Reis Nº 1,,http://agr690.cne-escutismo.pt
9970-323,Açores,0691,Santa Cruz das Flores,goncalves1960@hotmail.com,39.4582827,-31.1338071,Flores,Rotunda Baden-Powell  Santa Cruz das Flores.,,
3800-901,Aveiro,0692,São Jacinto,Cne.692.saojacinto@gmail.com,40.663317,-8.7317598,Aveiro,Salão Paroquial,,
4610-170,Porto,0694,Margaride,geral.694@escutismo.pt,41.3664104,-8.1971968,Felgueiras,Rua Dr. Basílio Ribeiro Leite Vasconcelos,Este,
3305-149,Coimbra,0696,Coja,geral.696@escutismo.pt,40.2669939,-7.986028300000001,Coja,Rua João Gonçalves Matoso,Centro-Norte,http://cne696coja.byethost17.com/
